sku,product_name,price,,,,
10155212,Mary Kay® Supreme Hydrating Lipstick Casual Rose Shine,20.00,,,,
10155218,Mary Kay® Supreme Hydrating Lipstick Festive Pink Shine,20.00,,,,
10206304,Mary Kay® Supreme Hydrating Lipstick Hushed Blush Shine,20.00,,,,
10206307,Mary Kay® Supreme Hydrating Lipstick Natural Shine,20.00,,,,
10155214,Mary Kay® Supreme Hydrating Lipstick Poetic Pink Shine,20.00,,,,
10155219,Mary Kay® Supreme Hydrating Lipstick Rockstar Red Shine,20.00,,,,
10206306,Mary Kay® Supreme Hydrating Lipstick Toasted Plum Shine,20.00,,,,
10249160,Mary Kay® Supreme Hydrating Lipstick Mauve Crush Shine,20.00,,,,
10202993,Mary Kay Pro Palette® (unfilled) (replacement product),28.00,,,,
10202992,Mary Kay Perfect Palette® (unfilled),20.00,,,,
10114610,Mary Kay Petite Palette® (unfilled),10.00,,,,
10134441,Palette Powder Brush,4.50,,,,
10134442,Palette Cheek Brush,2.00,,,,
10134452,Cosmetic Sponges,4.00,,,,
10114898,Mary Kay® Blending Sponge,12.00,,,,
10128063,Mary Kay® Blending Brush,16.00,,,,
10135951,Mary Kay® Mask Applicator,12.00,,,,
10107305,Mary Kay® Essential Brush Collection,60.00,,,,
10122325,Mary Kay® Liquid Foundation Brush,14.00,,,,
10122329,Mary Kay® Cream Color Brush,12.00,,,,
10122328,Mary Kay® Eyebrow/Eyeliner Brush,10.00,,,,
10122320,Mary Kay® All-Over Powder Brush,18.00,,,,
10122321,Mary Kay® Cheek Brush,16.00,,,,
10168938,Mary Kay® Eye Blending Brush,12.00,,,,
10122322,Mary Kay® Eye Crease Brush,12.00,,,,
10122323,Mary Kay® All-Over Eye Shadow Brush,12.00,,,,
10122324,Mary Kay® Eye Smudger Brush,12.00,,,,
10143940,Mary Kay® Travel Roll-Up Bag,40.00,,,,
10080376,Hello Clean,36.00,,,,
10162409,Mary Kay® Apple & Almond Scented Body Lotion Apple & Almond,16.00,,,,
10162408,Mary Kay® Apple & Almond Scented Shower Gel Apple & Almond,16.00,,,,
10162416,Mary Kay® Berry & Vanilla Scented Body Lotion Berry & Vanilla,16.00,,,,
10162443,Mary Kay® Berry & Vanilla Scented Shower Gel Berry & Vanilla,16.00,,,,
10136769,Mary Kay® 2-In-1 Body Wash & Shave,18.00,,,,
10073789,Mary Kay® Hydrating Lotion,18.00,,,,
10091504,White Tea & Citrus Satin Body® Revitalizing Shea Scrub,22.00,,,,
10091502,White Tea & Citrus Satin Body® Indulgent Shea Wash,22.00,,,,
10091493,White Tea & Citrus Satin Body® Silkening Shea Lotion,22.00,,,,
10090638,White Tea & Citrus Satin Hands® Pampering Set,38.00,,,,
10088632,White Tea & Citrus Satin Hands® Nourishing Shea Cream,14.00,,,,
10156069,Fragrance-Free Satin Hands® Nourishing Shea Cream,14.00,,,,
10238148,Fragrance-Free Satin Hands® Pampering Set,38.00,,,,
10223788,Mint Bliss™ Energizing Lotion for Feet & Legs,12.00,,,,
10235051,Mary Kay Confidently You™ Eau de Parfum,55.00,,,,
10192900,Belara® Eau de Parfum,44.00,,,,
10012512,Bella Belara® Eau de Parfum,44.00,,,,
10095688,Enchanted Wish® Eau de Toilette,40.00,,,,
10088620,Forever Diamonds® Eau de Parfum,46.00,,,,
10094305,Live Fearlessly® Eau de Parfum,48.00,,,,
10141779,Mary Kay Illuminea™ Extrait de Parfum,80.00,,,,
10218635,Thinking of You® Eau de Parfum,36.00,,,,
10028783,Domain® Cologne Spray,42.00,,,,
10109680,MK High Intensity® Cologne Spray,46.00,,,,
10095123,MK High Intensity Ocean® Cologne Spray,46.00,,,,
10075680,MK High Intensity® Sport Cologne Spray,46.00,,,,
10221421,Cityscape® Cologne Spray,56.00,,,,
10214815,Special Edition† Mary Kay® Multi-Benefit Concealer Sample Strip/6 Light 1,2.50,,,,
10214817,Special Edition† Mary Kay® Multi-Benefit Concealer Sample Strip/6 Light 3,2.50,,,,
10214816,Special Edition† Mary Kay® Multi-Benefit Concealer Sample Strip/6 Light 2,2.50,,,,
10214818,Special Edition† Mary Kay® Multi-Benefit Concealer Sample Strip/6 Medium 1,2.50,,,,
10214819,Special Edition† Mary Kay® Multi-Benefit Concealer Sample Strip/6 Medium 2,2.50,,,,
10214820,Special Edition† Mary Kay® Multi-Benefit Concealer Sample Strip/6 Medium 3,2.50,,,,
10209146,Special Edition† Mary Kay® Multi-Benefit Concealer Sample Strip/6 Deep 1,2.50,,,,
10209147,Special Edition† Mary Kay® Multi-Benefit Concealer Sample Strip/6 Deep 2,2.50,,,,
10209148,Special Edition† Mary Kay® Multi-Benefit Concealer Sample Strip/6 Deep 3,2.50,,,,
10209139,Special Edition† Mary Kay® Undereye Corrector Sample Strip/6 Light Peach,2.50,,,,
10209140,Special Edition† Mary Kay® Undereye Corrector Sample Strip/6 Deep Peach,2.50,,,,
10256529,REVISED! Beauty Profile Cards (Version 9/25),1.25,,,,
10256530,¡REVISADO! Tarjeta de Perfil de Belleza (Versión 9/25),1.25,,,,
10255674,REVISED! Flip Chart Pages (Version 9/25),3.00,,,,
10255675,¡REVISADO! Páginas del rotafolio (Versión 9/25),3.00,,,,
10255676,REVISED! Flip Chart Binder With Pages (Version 9/25),5.00,,,,
10255677,¡REVISADO! Carpeta del rotafolio con páginas (Versión 9/25),5.00,,,,
10163901,Mary Kay® Micellar Water Deluxe Mini,3.00,,,,
10198732,TimeWise® Microdermabrasion Plus Set Deluxe Mini,5.00,,,,
10173683,TimeWise Replenishing Serum C+E™ Deluxe Mini (single),4.00,,,,
10092104,Lash Intensity® Mascara Black Deluxe Mini Black,3.50,,,,
10179221,Mary Kay® Oil-Free Eye Makeup Remover Deluxe Mini,4.00,,,,
10090685,White Tea & Citrus Satin Hands Deluxe Mini Set,4.00,,,,
10238190,Fragrance-Free Satin Hands® Deluxe Mini Set,4.00,,,,
10249183,Mary Kay Unlimited® Lip Gloss Set Deluxe Mini (Single),8.00,,,,
10150128,White Tea & Citrus Satin Body® Revitalizing Shea Scrub Deluxe Mini (single),1.50,,,,
10150131,White Tea & Citrus Satin Body® Silkening Shea Lotion Deluxe Mini (single),1.50,,,,
10142149,TimeWise® Matte 3D Foundation Samples Ivory C 100,2.00,,,,
10142153,TimeWise® Matte 3D Foundation Samples Ivory C 110,2.00,,,,
10142154,TimeWise® Matte 3D Foundation Samples Ivory W 130,2.00,,,,
10142155,TimeWise® Matte 3D Foundation Samples Ivory N 140,2.00,,,,
10142157,TimeWise® Matte 3D Foundation Samples Ivory W 150,2.00,,,,
10142156,TimeWise® Matte 3D Foundation Samples Ivory N 160,2.00,,,,
10142158,TimeWise® Matte 3D Foundation Samples Beige W 100,2.00,,,,
10142159,TimeWise® Matte 3D Foundation Samples Beige C 110,2.00,,,,
