sku,product_name,price,search_terms,date_added,last_seen,display_name_card,display_name_sms
10099971,TimeWise Matte 3D Foundation - Beige W 160,26.00,,,2026-04-08,TimeWise Matte 3D Foundation - Beige W 160,TimeWise Matte 3D Foundation
10099972,TimeWise Matte 3D Foundation - Beige C 170,26.00,,,2026-04-08,TimeWise Matte 3D Foundation - Beige C 170,TimeWise Matte 3D Foundation
10099973,TimeWise Matte 3D Foundation - Beige W 180,26.00,,,2026-04-08,TimeWise Matte 3D Foundation - Beige W 180,TimeWise Matte 3D Foundation
10099974,TimeWise Matte 3D Foundation - Beige N 190,26.00,,,2026-04-08,TimeWise Matte 3D Foundation - Beige N 190,TimeWise Matte 3D Foundation
10099975,TimeWise Matte 3D Foundation - Beige N 200,26.00,,,2026-04-08,TimeWise Matte 3D Foundation - Beige N 200,TimeWise Matte 3D Foundation
10099976,TimeWise Matte 3D Foundation - Beige N 210,26.00,,,2026-04-08,TimeWise Matte 3D Foundation - Beige N 210,TimeWise Matte 3D Foundation
10099977,TimeWise Matte 3D Foundation - Beige C 220,26.00,,,2026-04-08,TimeWise Matte 3D Foundation - Beige C 220,TimeWise Matte 3D Foundation
10099978,TimeWise Matte 3D Foundation - Bronze W 100,26.00,,,2026-04-08,TimeWise Matte 3D Foundation - Bronze W 100,TimeWise Matte 3D Foundation
10099979,TimeWise Matte 3D Foundation - Bronze W 110,26.00,,,2026-04-08,TimeWise Matte 3D Foundation - Bronze W 110,TimeWise Matte 3D Foundation
10099980,TimeWise Matte 3D Foundation - Bronze W 120,26.00,,,2026-04-08,TimeWise Matte 3D Foundation - Bronze W 120,TimeWise Matte 3D Foundation
10099981,TimeWise Matte 3D Foundation - Bronze W 130,26.00,,,2026-04-08,TimeWise Matte 3D Foundation - Bronze W 130,TimeWise Matte 3D Foundation
10099982,TimeWise Matte 3D Foundation - Bronze W 140,26.00,,,2026-04-08,TimeWise Matte 3D Foundation - Bronze W 140,TimeWise Matte 3D Foundation
10100036,TimeWise Matte 3D Foundation - Bronze W 150,26.00,,,2026-04-08,TimeWise Matte 3D Foundation - Bronze W 150,TimeWise Matte 3D Foundation
10100038,TimeWise Matte 3D Foundation - Bronze C 160,26.00,,,2026-04-08,TimeWise Matte 3D Foundation - Bronze C 160,TimeWise Matte 3D Foundation
10100039,TimeWise Matte 3D Foundation - Bronze C 170,26.00,,,2026-04-08,TimeWise Matte 3D Foundation - Bronze C 170,TimeWise Matte 3D Foundation
10100040,TimeWise Matte 3D Foundation - Bronze C 180,26.00,,,2026-04-08,TimeWise Matte 3D Foundation - Bronze C 180,TimeWise Matte 3D Foundation
10100011,TimeWise Luminous 3D Foundation - Ivory C 100,26.00,,,2026-04-08,TimeWise Luminous 3D Foundation - Ivory C 100,TimeWise Luminous 3D Foundation
10100012,TimeWise Luminous 3D Foundation - Ivory C 110,26.00,,,2026-04-08,TimeWise Luminous 3D Foundation - Ivory C 110,TimeWise Luminous 3D Foundation
10100013,TimeWise Luminous 3D Foundation - Ivory W 120,26.00,,,2026-04-08,TimeWise Luminous 3D Foundation - Ivory W 120,TimeWise Luminous 3D Foundation
10100014,TimeWise Luminous 3D Foundation - Ivory W 130,26.00,,,2026-04-08,TimeWise Luminous 3D Foundation - Ivory W 130,TimeWise Luminous 3D Foundation
10100015,TimeWise Luminous 3D Foundation - Ivory N 140,26.00,,,2026-04-08,TimeWise Luminous 3D Foundation - Ivory N 140,TimeWise Luminous 3D Foundation
10100018,TimeWise Luminous 3D Foundation - Ivory W 150,26.00,,,2026-04-08,TimeWise Luminous 3D Foundation - Ivory W 150,TimeWise Luminous 3D Foundation
10100017,TimeWise Luminous 3D Foundation - Ivory N 160,26.00,,,2026-04-08,TimeWise Luminous 3D Foundation - Ivory N 160,TimeWise Luminous 3D Foundation
10100019,TimeWise Luminous 3D Foundation - Beige W 100,26.00,,,2026-04-08,TimeWise Luminous 3D Foundation - Beige W 100,TimeWise Luminous 3D Foundation
10100020,TimeWise Luminous 3D Foundation - Beige C 110,26.00,,,2026-04-08,TimeWise Luminous 3D Foundation - Beige C 110,TimeWise Luminous 3D Foundation
10100022,TimeWise Luminous 3D Foundation - Beige C 120,26.00,,,2026-04-08,TimeWise Luminous 3D Foundation - Beige C 120,TimeWise Luminous 3D Foundation
10100023,TimeWise Luminous 3D Foundation - Beige C 130,26.00,,,2026-04-08,TimeWise Luminous 3D Foundation - Beige C 130,TimeWise Luminous 3D Foundation
10100024,TimeWise Luminous 3D Foundation - Beige C 140,26.00,,,2026-04-08,TimeWise Luminous 3D Foundation - Beige C 140,TimeWise Luminous 3D Foundation
10100025,TimeWise Luminous 3D Foundation - Beige N 150,26.00,,,2026-04-08,TimeWise Luminous 3D Foundation - Beige N 150,TimeWise Luminous 3D Foundation
10100026,TimeWise Luminous 3D Foundation - Beige W 160,26.00,,,2026-04-08,TimeWise Luminous 3D Foundation - Beige W 160,TimeWise Luminous 3D Foundation
10100027,TimeWise Luminous 3D Foundation - Beige W 180,26.00,,,2026-04-08,TimeWise Luminous 3D Foundation - Beige W 180,TimeWise Luminous 3D Foundation
10100028,TimeWise Luminous 3D Foundation - Beige N 190,26.00,,,2026-04-08,TimeWise Luminous 3D Foundation - Beige N 190,TimeWise Luminous 3D Foundation
10100030,TimeWise Luminous 3D Foundation - Beige N 210,26.00,,,2026-04-08,TimeWise Luminous 3D Foundation - Beige N 210,TimeWise Luminous 3D Foundation
